LETICIA CAMPOS;16456;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;PSTU;457	
ASCANIO SAVIO;23233;PARTIDO POPULAR SOCIALISTA;PSC / PPS;456	
BONFIM;36300;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;454	
ROBERTO LIMA;27222;PARTIDO SOCIAL DEMOCRATA CRISTAO;PSDC / PT do B;440	
PROF.CICERO;19333;PARTIDO TRABALHISTA NACIONAL;PTN / PTC;440	
TOIM DU FRANGO;45177;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB / PSD;431	
MELK SILVA;17010;PARTIDO SOCIAL LIBERAL;PRP / PSL / PHS;428	
ADAILTON PACHECO;23112;PARTIDO POPULAR SOCIALISTA;PSC / PPS;428	
ALEXANDRE SA;43000;PARTIDO VERDE;PR / PV;418	
HEMERSON DANIEL;11236;PARTIDO PROGRESSISTA;PP / PDT;414	
RONDINELE SANTOS;13123;PARTIDO DOS TRABALHADORES;PT;412	
MENDES;13688;PARTIDO DOS TRABALHADORES;PT;412	
CAIADO;19555;PARTIDO TRABALHISTA NACIONAL;PTN / PTC;408	
GARRINCHA;14111;PARTIDO TRABALHISTA BRASILEIRO;PTB / PRTB / PPL;403	
MARCOS FERNANDES;16160;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;PSTU;401	
IRMAO MARREIRA;25555;DEMOCRATAS;DEM;397	
GARDENIA ALBUQUERQUE;23678;PARTIDO POPULAR SOCIALISTA;PSC / PPS;395	
AIRTON MARTINS;65432;PARTIDO COMUNISTA DO BRASIL;PC do B;394	
IRMAO JESUS;43233;PARTIDO VERDE;PR / PV;390	
ERNANI UCHOA;13013;PARTIDO DOS TRABALHADORES;PT;384	
GERALDIN;27147;PARTIDO SOCIAL DEMOCRATA CRISTAO;PSDC / PT do B;380	
GILVAN KBCAO;27000;PARTIDO SOCIAL DEMOCRATA CRISTAO;PSDC / PT do B;379	
DR.ROBERTO SILVA;17777;PARTIDO SOCIAL LIBERAL;PRP / PSL / PHS;374	
JOSIMAR;40234;PARTIDO SOCIALISTA BRASILEIRO;PRB / PMN / PSB;374	
TERESA BRITTO;43333;PARTIDO VERDE;PR / PV;6237	
PROFESSOR ANTONIO;25111;DEMOCRATAS;DEM;371	
NAZARE TRINDADE;13122;PARTIDO DOS TRABALHADORES;PT;367	
QUEM QUEM;14563;PARTIDO TRABALHISTA BRASILEIRO;PTB / PRTB / PPL;367	
LEONARDO MAIA;16123;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;PSTU;357	
CLAUDETE MIRANDA;40999;PARTIDO SOCIALISTA BRASILEIRO;PRB / PMN / PSB;356	
TERESINHA GOMES;14234;PARTIDO TRABALHISTA BRASILEIRO;PTB / PRTB / PPL;356	
PESSOA;31333;PARTIDO HUMANISTA DA SOLIDARIEDADE;PRP / PSL / PHS;353	
IRMAO CARLOS TELES;44147;PARTIDO REPUBLICANO PROGRESSISTA;PRP / PSL / PHS;351	
ANDRE ALISON;15015;PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO;PMDB;350	
IVALDO PESCADOR;36000;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;350	
DELEGADO JORGINHO;40258;PARTIDO SOCIALISTA BRASILEIRO;PRB / PMN / PSB;349	
ODAILTON MASCARENHA;36666;PARTIDO TRABALHISTA CRISTAO;PTN / PTC;346	
GABRIEL MACHADO;43140;PARTIDO VERDE;PR / PV;343	
EDU AGUIAR;45145;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB / PSD;339	
PROF. CARLA SOARES;10000;PARTIDO REPUBLICANO BRASILEIRO;PRB / PMN / PSB;338	
GILBERTO QUEIROZ;44567;PARTIDO REPUBLICANO PROGRESSISTA;PRP / PSL / PHS;334	
TERESINHA MARQUES;23002;PARTIDO POPULAR SOCIALISTA;PSC / PPS;332	
IRMAO GILVAN;14007;PARTIDO TRABALHISTA BRASILEIRO;PTB / PRTB / PPL;330	
RIBAMAR RODRIGUES;21021;PARTIDO COMUNISTA BRASILEIRO;PCB / PCO;330	
GERSON LEAL;23155;PARTIDO POPULAR SOCIALISTA;PSC / PPS;330	
ROBERTO QUADROS;28333;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PTB / PRTB / PPL;326	
WILSON SAPATEIRO;23344;PARTIDO POPULAR SOCIALISTA;PSC / PPS;322	
RIBAMAR	MEU LINDO;54321;PARTIDO PATRIA LIVRE;PTB / PRTB / PPL;320
JOEL VIANA;11345;PARTIDO PROGRESSISTA;PP / PDT;319	
GONZAGA;23800;PARTIDO POPULAR SOCIALISTA;PSC / PPS;317	
GERVASIO MEDEIROS;70007;PARTIDO TRABALHISTA DO BRASIL;PSDC / PT do B;317	
CLEITON MATIAS;19190;PARTIDO TRABALHISTA NACIONAL;PTN / PTC;315	
STEIFEL;23337;PARTIDO POPULAR SOCIALISTA;PSC / PPS;315	
MARCIO ROBERTO;31777;PARTIDO HUMANISTA DA SOLIDARIEDADE;PRP / PSL / PHS;307	
AGRICOLA NETO;54654;PARTIDO PATRIA LIVRE;PTB / PRTB / PPL;302	
PROFª ELZA FREIRE;44544;PARTIDO REPUBLICANO PROGRESSISTA;PRP / PSL / PHS;298	
DR. CLAUDIO;20111;PARTIDO SOCIAL CRISTAO;PSC / PPS;297	
ORGARINA;11113;PARTIDO PROGRESSISTA;PP / PDT;296	
ADEMILDE NOBREGA;14140;PARTIDO TRABALHISTA BRASILEIRO;PTB / PRTB / PPL;285	
THIAGO MARQUES;28111;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PTB / PRTB / PPL;284	
ZE NETO;33400;PARTIDO DA MOBILIZACAO NACIONAL;PRB / PMN / PSB;283	
